Year,Institucion,Territorio,Units,Value
2012,GEN_PARL,,PT,49.3
2013,GEN_PARL,,PT,49.3
2018,GEN_PARL,,PT,53.3
2021,GEN_PARL,,PT,50.7
2010,GEN_PARL,,PT,45.3
2019,GEN_PARL,,PT,53.3
2016,GEN_PARL,,PT,53.3
2011,GEN_PARL,,PT,45.3
2023,GEN_PARL,,PT,49.3
2014,GEN_PARL,,PT,49.3
2020,GEN_PARL,,PT,50.7
2022,GEN_PARL,,PT,50.7
2015,GEN_PARL,,PT,49.3
2017,GEN_PARL,,PT,53.3
2014,GEN_G,,PT,50.0
2012,GEN_G,,PT,50.0
2021,GEN_G,,PT,45.5
2019,GEN_G,,PT,63.6
2015,GEN_G,,PT,50.0
2018,GEN_G,,PT,41.7
2023,GEN_G,,PT,45.5
2022,GEN_G,,PT,45.5
2010,GEN_G,,PT,45.5
2017,GEN_G,,PT,41.7
2016,GEN_G,,PT,50.0
2020,GEN_G,,PT,45.5
2013,GEN_G,,PT,50.0
2011,GEN_G,,PT,50.0
2014,GEN_REGIOPARL,,PT,48.4
2019,GEN_REGIOPARL,,PT,54.2
2020,GEN_REGIOPARL,,PT,54.2
2018,GEN_REGIOPARL,,PT,48.1
2010,GEN_REGIOPARL,,PT,41.2
2022,GEN_REGIOPARL,,PT,54.2
2015,GEN_REGIOPARL,,PT,48.1
2017,GEN_REGIOPARL,,PT,48.1
2021,GEN_REGIOPARL,,PT,54.2
2012,GEN_REGIOPARL,,PT,48.4
2016,GEN_REGIOPARL,,PT,48.1
2013,GEN_REGIOPARL,,PT,48.4
2011,GEN_REGIOPARL,,PT,48.4
2010,GEN_REGIOPARL,ES211,PT,41.2
2013,GEN_REGIOPARL,ES211,PT,51.0
2017,GEN_REGIOPARL,ES211,PT,45.1
2020,GEN_REGIOPARL,ES211,PT,56.9
2015,GEN_REGIOPARL,ES211,PT,45.1
2022,GEN_REGIOPARL,ES211,PT,56.9
2021,GEN_REGIOPARL,ES211,PT,56.9
2019,GEN_REGIOPARL,ES211,PT,56.9
2018,GEN_REGIOPARL,ES211,PT,45.1
2016,GEN_REGIOPARL,ES211,PT,45.1
2014,GEN_REGIOPARL,ES211,PT,51.0
2012,GEN_REGIOPARL,ES211,PT,51.0
2011,GEN_REGIOPARL,ES211,PT,51.0
2010,GEN_REGIOPARL,ES213,PT,39.2
2021,GEN_REGIOPARL,ES213,PT,51.0
