Year,ServEsencial,Administracion,Lurraldea,Eskualdea,Udalerria,Units,GeoCode,Value
2017,ESED,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,3.5
2018,ESED,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,3.4
2019,ESED,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,3.2
2020,ESED,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,3.0
2021,ESED,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,3.2
2017,ESSRV,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,21.5
2018,ESSRV,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,22.6
2019,ESSRV,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,22.2
2020,ESSRV,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,22.7
2021,ESSRV,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,22.8
2017,HLTH,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,0.8
2018,HLTH,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,0.8
2019,HLTH,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,0.7
2020,HLTH,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,0.8
2021,HLTH,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,0.8
2017,PROT,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,17.2
2018,PROT,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,18.4
2019,PROT,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,18.3
2020,PROT,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,18.9
2021,PROT,ADM_MUN,Araba/Álava,,,Ehunekoa,Araba/Álava,18.9
2017,ESED,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,5.1
2018,ESED,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,4.1
2019,ESED,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,5.6
2020,ESED,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,5.8
2021,ESED,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,5.2
2017,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,16.6
2018,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,15.0
2019,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,18.8
2020,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,18.7
2021,ESSRV,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,20.6
2017,HLTH,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.4
2018,HLTH,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.4
2019,HLTH,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.4
2020,HLTH,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.6
2021,HLTH,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,0.5
2017,PROT,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,11.1
2018,PROT,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,10.5
2019,PROT,ADM_MUN,,,Alegría-Dulantzi,Ehunekoa,Alegría-Dulantzi,12.7
